Agency,City,State,NTD ID,Organization Type,Reporter Type,Report Year,UACE Code,UZA Name,Primary UZA Population,Agency VOMS,Mode,Mode Name,TOS,Mode VOMS,Vehicle Operations,Vehicle Operations Questionable,Vehicle Maintenance,Vehicle Maintenance Questionable,Facility Maintenance,Facility Maintenance Questionable,General Administration,General Administration Questionable,Reduced Reporter Expenses,Reduced Reporter Expenses Questionable,Total,Total Questionable,Purchased Transportation Reported Separately,Purchased Transportation Reported Separately Questionable
Port of Administration Authority,Pago Pago,AS,91004,State Government Unit or Department of Transportation,Rural Reporter,2022,,,,2,FB,Ferryboat,DO,2,0,,0,,0,,0,,"949,550",,"949,550",,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",HR,Heavy Rail,DO,"5,410","1,613,580,482",,"997,007,541",,"2,147,369,235",,"591,798,903",,0,,"5,349,756,161",,0,
MTA New York City Transit,Brooklyn,NY,20008,"Subsidiary Unit of a Transit Agency, Reporting Separately",Full Reporter,2022,63217,"New York--Jersey City--Newark, NY--NJ","19,426,449","10,019",MB,Bus,DO,"3,217","1,806,071,236",,"518,580,927",,"177,161,750",,"395,195,747",,0,,"2,897,009,660",,0,
Lower Elwha Klallam Tribe,Port Angeles,WA,00401,Tribe,Reduced Reporter,2022,53,Washington Non-UZA,"1,895,776",1,MB,Bus,DO,1,0,,0,,0,,0,,"34,347",,"34,347",,0,
Phelps County Senior Citizen,Holdrege,NE,70182,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"135,053",,"135,053",,0,
City of Ojai,Ojai,CA,91058,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,MB,Bus,DO,2,0,,0,,0,,0,,"733,466",,"733,466",,0,
Commmunity Memorial Health Center Burwell,Burwell,NE,70113,Private-Non-Profit Corporation,Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"44,535",,"44,535",,0,
Herington Hilltop Community Center,Herington,KS,70120,Private-Non-Profit Corporation,Rural Reporter,2022,,,,1,DR,Demand Response,DO,1,0,,0,,0,,0,,"20,501",,"20,501",,0,
City of Phillipsburg,Phillipsburg,KS,70191,"City, County or Local Government Unit or Department of Transportation",Rural Reporter,2022,,,,2,DR,Demand Response,DO,2,0,,0,,0,,0,,"73,280",,"73,280",,0,
Municipality of Aguada,Aguada,PR,40114,"City, County or Local Government Unit or Department of Transportation",Reduced Reporter,2022,631,"Aguadilla--Isabela--San Sebastián, PR","232,573",2,DR,Demand Response,DO,2,0,,0,,0,,0,,"32,367",,"32,367",,0,
